"","FacilityId","County","FacilityName","Variable","Year_2019","Year_2018","change"
"162","IL0075050","Boone","Aqua Illinois - Candlewick Division (PWS)","Total",1895,1895,0
"163","IL0075050","Boone","Aqua Illinois - Candlewick Division (PWS)","Unknown",0,0,0
"164","IL0075050","Boone","Aqua Illinois - Candlewick Division (PWS)","UnknownNotLead",0,0,0
"165","IL0975450","Lake","Aqua Illinois - Fairhaven Estates (PWS)","Lead",0,0,0
"166","IL0975450","Lake","Aqua Illinois - Fairhaven Estates (PWS)","Total",99,99,0
"167","IL0975450","Lake","Aqua Illinois - Fairhaven Estates (PWS)","Unknown",0,0,0
"168","IL0975450","Lake","Aqua Illinois - Fairhaven Estates (PWS)","UnknownNotLead",92,92,0
"169","IL0975040","Lake","Aqua Illinois - Hawthorn Woods (PWS)","Lead",0,0,0
"170","IL0975040","Lake","Aqua Illinois - Hawthorn Woods (PWS)","Total",1000,983,17
"171","IL0975040","Lake","Aqua Illinois - Hawthorn Woods (PWS)","Unknown",0,0,0
"172","IL0975040","Lake","Aqua Illinois - Hawthorn Woods (PWS)","UnknownNotLead",829,832,-3
"173","IL0915220","Kankakee","Aqua Illinois - Highland Estates (PWS)","Lead",0,0,0
"174","IL0915220","Kankakee","Aqua Illinois - Highland Estates (PWS)","Total",54,54,0
"175","IL0915220","Kankakee","Aqua Illinois - Highland Estates (PWS)","Unknown",54,54,0
"176","IL0915220","Kankakee","Aqua Illinois - Highland Estates (PWS)","UnknownNotLead",0,0,0
"177","IL0970180","Lake","Aqua Illinois - Ivanhoe (PWS)","Lead",0,0,0
"178","IL0970180","Lake","Aqua Illinois - Ivanhoe (PWS)","Total",309,309,0
"179","IL0970180","Lake","Aqua Illinois - Ivanhoe (PWS)","Unknown",0,0,0
"180","IL0970180","Lake","Aqua Illinois - Ivanhoe (PWS)","UnknownNotLead",297,297,0
"181","IL1115020","McHenry","Aqua Illinois - McHenry Shores (PWS)","Lead",0,0,0
"182","IL1115020","McHenry","Aqua Illinois - McHenry Shores (PWS)","Total",534,534,0
"183","IL1115020","McHenry","Aqua Illinois - McHenry Shores (PWS)","Unknown",525,0,525
"184","IL1115020","McHenry","Aqua Illinois - McHenry Shores (PWS)","UnknownNotLead",0,525,-525
"185","IL0895300","Kane","Aqua Illinois - Moecherville (PWS)","Lead",0,0,0
"186","IL0895300","Kane","Aqua Illinois - Moecherville (PWS)","Total",372,368,4
"187","IL0895300","Kane","Aqua Illinois - Moecherville (PWS)","Unknown",0,0,0
"188","IL0895300","Kane","Aqua Illinois - Moecherville (PWS)","UnknownNotLead",371,368,3
"189","IL1415330","Ogle","Aqua Illinois - Nordic Woods (PWS)","Lead",0,0,0
"190","IL1415330","Ogle","Aqua Illinois - Nordic Woods (PWS)","Total",170,170,0
"191","IL1415330","Ogle","Aqua Illinois - Nordic Woods (PWS)","Unknown",0,0,0
