FacilityId,County,Place,Class,FacilityName,ReportedDate,ReportingYear,TotalServiceConnections,WholesaleConnections,RetailConnections,ServicesLead,ServicesUnknownMaterial,ServicesCopperLeadSolder,ServicesGalvanized,ServicesUnknownNotLead,ServicesCopperNonLeadSolder,ServicesCastDuctileIronTransite,ServicesPlastic
IL1410030,Ogle,Davis Junction,village,Davis Junction (PWS),4/3/19 11:19,2018,672,0,672,0,0,0,0,0,670,0,2
IL1670400,Sangamon,Dawson,village,Dawson (PWS),6/27/19 10:39,2018,825,0,825,0,825,0,0,0,0,0,0
IL1470200,Piatt,De Land,village,De Land (PWS),4/11/19 14:31,2018,210,0,210,0,143,0,0,0,66,0,1
IL0110300,Bureau,De Pue,village,De Pue (PWS),5/14/19 9:02,2018,669,0,669,169,0,0,90,0,410,0,0
IL0770200,Jackson,De Soto,village,De Soto (PWS),4/30/19 13:46,2018,861,0,861,0,861,0,0,0,0,0,0
IL0390100,DeWitt,De Witt,village,De Witt (PWS),7/24/19 15:28,2018,72,0,72,0,72,0,0,0,0,0,0
IL1150150,Macon,Decatur,city,Decatur (PWS),4/9/19 9:53,2018,29203,3,29200,5012,52,0,0,0,23753,386,0
IL1794320,Tazewell,Deer Creek,village,Deer Creek (PWS),3/26/19 11:15,2018,307,0,307,0,268,2,2,0,0,0,35
IL0974340,Lake,Deerfield,village,Deerfield (PWS),4/29/19 11:09,2018,6786,3,6783,950,0,4333,0,0,1500,3,0
IL0370100,DeKalb,DeKalb,city,De Kalb (PWS),3/21/19 15:48,2018,10696,0,10696,241,1407,8952,0,0,0,96,0
IL1790150,Tazewell,Delavan,city,Delavan (PWS),4/11/19 10:37,2018,847,0,847,211,0,255,42,0,0,0,339
IL0310630,Cook,Des Plaines,city,Des Plaines (PWS),4/15/19 11:32,2018,16412,1,16411,280,10604,5164,0,0,0,303,61
IL0630250,Grundy,Diamond,village,Diamond (PWS),5/24/19 13:51,2018,898,0,898,0,0,0,0,0,673,0,225
IL0490150,Effingham,Dieterich,village,Dieterich (PWS),3/18/19 11:46,2018,386,1,385,0,0,0,0,0,290,0,96
IL1670450,Sangamon,Divernon,village,Divernon (PWS),1/2/19 11:28,2018,554,0,554,0,0,549,0,0,5,0,0
IL0310660,Cook,Dixmoor,village,Dixmoor (PWS),9/18/19 14:55,2018,655,0,655,488,0,0,0,0,167,0,0
