"FacilityId","County","FacilityName","ReportedDate","ReportingYear","TotalServiceConnections","WholesaleConnections","RetailConnections","ServicesLead","ServicesUnknownMaterial","ServicesCopperLeadSolder","ServicesGalvanized","ServicesUnknownNotLead","ServicesCopperNonLeadSolder","ServicesCastDuctileIronTransite","ServicesPlastic"
"IL0975345","Lake","Lake View MHP (PWS)","5/27/2020 9:10:13 PM","2019","191","0","191","0","0","0","2","0","189","0","0"
"IL0975575","Lake","Park City MHP (PWS)","5/27/2020 9:09:18 PM","2019","598","0","598","0","0","0","8","0","590","0","0"
"IL1990120","Williamson","The Orchards MHC","5/27/2020 2:53:31 PM","2019","69","0","69","0","0","0","0","0","0","0","69"
"IL0311140","Cook","Harwood Heights (PWS)","5/27/2020 2:13:28 PM","2019","2226","1869","357","207","0","0","0","0","1903","116","0"
"IL0550100","Franklin","Buckner (PWS)","5/27/2020 2:08:51 PM","2019","279","0","279","0","82","12","0","0","84","0","101"
"IL1515050","Pope","Millstone Pwd (PWS)","5/27/2020 1:48:02 PM","2019","2394","4","2390","0","0","0","0","0","50","0","2344"
"IL0310360","Cook","Burnham (PWS)","5/27/2020 1:35:17 PM","2019","1222","0","1222","368","259","561","30","0","0","4","0"
"IL0010450","Adams","Loraine (PWS)","5/27/2020 1:17:40 PM","2019","165","163","2","0","8","0","0","0","99","0","58"
"IL0971850","Lake","Wauconda (PWS)","5/27/2020 1:16:37 PM","2019","5801","0","5801","142","0","219","0","0","5245","195","0"
"IL0930250","Kendall","Yorkville (PWS)","5/27/2020 12:30:24 PM","2019","7250","0","7250","10","30","6823","0","0","0","0","387"
"IL1670600","Sangamon","Jerome (PWS)","5/27/2020 11:58:56 AM","2019","632","0","632","0","0","0","180","0","449","0","3"
"IL1190350","Madison","Grantfork (PWS)","5/27/2020 11:40:00 AM","2019","716","0","716","0","0","0","0","679","0","0","37"
"IL0310060","Cook","Summit (PWS)","5/27/2020 10:44:23 AM","2019","2543","0","2543","2331","0","203","0","0","3","6","0"
"IL0050400","Bond","Country View MHP (PWS)","5/27/2020 10:31:34 AM","2019","134","0","134","0","134","0","0","0","0","0","0"
"IL0250300","Clay","Xenia (PWS)","5/27/2020 8:47:31 AM","2019","264","0","264","0","0","0","32","0","200","0","32"
"IL0390250","DeWitt","Wapella (PWS)","5/27/2020 5:51:08 AM","2019","260","0","260","0","0","0","0","0","255","0","5"
"IL1415350","Ogle","Rockvale Corporation (PWS)","5/26/2020 5:47:53 PM","2019","122","0","122","0","0","0","0","0","0","0","122"
"IL0311980","Cook","Mount Prospect (PWS)","5/26/2020 5:43:04 PM","2019","11140","0","11140","571","7511","2877","2","22","0","157","0"
"IL0434140","DuPage","Bensenville (PWS)","5/26/2020 4:03:12 PM","2019","5066","0","5066","41","2508","0","0","0","1866","651","0"
"IL0995425","LaSalle","Wildlife MHP (PWS)","5/26/2020 3:17:21 PM","2019","29","0","29","0","29","0","0","0","0","0","0"
"IL0631000","Grundy","Lisbon North, Inc. (PWS)","5/26/2020 3:16:51 PM","2019","11","0","11","0","11","0","0","0","0","0","0"
"IL0995200","LaSalle","Util Inc - Lake Holiday (PWS)","5/26/2020 2:42:35 PM","2019","1886","0","1886","0","0","0","0","0","1886","0","0"
"IL1975200","Will","Util Inc - Camelot (PWS)","5/26/2020 2:39:16 PM","2019","220","0","220","0","0","0","0","0","220","0","0"
"IL1795450","Tazewell","Harvard Hills Water Corporation (PWS)","5/26/2020 2:37:02 PM","2019","86","0","86","0","82","0","0","1","1","1","1"
"IL0775410","Jackson","Wildwood MHP","5/26/2020 2:07:28 PM","2019","96","0","96","0","0","0","96","0","0","0","0"
"IL0311110","Cook","Harvey (PWS)","5/26/2020 1:22:29 PM","2019","8505","5","8500","475","7990","40","0","0","0","0","0"
"IL0310300","Cook","Broadview (PWS)","5/26/2020 12:04:19 PM","2019","2950","0","2950","151","2404","0","0","0","342","53","0"
"IL1630750","St. Clair","Marissa (PWS)","5/26/2020 10:51:56 AM","2019","844","0","844","0","0","0","23","379","322","0","120"
"IL0317580","Cook","Broadview-Westchester Joint Water Agency (PWS)","5/26/2020 10:44:15 AM","2019","3","3","0","0","0","0","0","0","0","3","0"
"IL0311950","Cook","Morton Grove (PWS)","5/25/2020 12:59:49 PM","2019","8211","1","8210","1937","1599","4577","3","0","0","95","0"
"IL0910010","Kankakee","Pembroke Township (PWS)","5/22/2020 9:05:13 PM","2019","552","0","552","0","0","0","0","0","0","0","552"
"IL0910040","Kankakee","Hopkins Park (PWS)","5/22/2020 9:03:11 PM","2019","213","1","212","0","0","0","0","0","0","0","213"
"IL0170150","Cass","Beardstown (PWS)","5/22/2020 3:08:25 PM","2019","2105","0","2105","700","694","0","700","0","0","0","11"
"IL1570100","Randolph","Chester (PWS)","5/22/2020 12:45:35 PM","2019","2578","2","2576","0","240","1560","264","0","0","252","262"
"IL0971070","Lake","Central Lake County JAWA (PWS)","5/22/2020 11:14:55 AM","2019","24","24","0","0","0","0","0","0","0","22","2"
"IL1175100","Macoupin","Lake Williamson Christian Center (PWS)","5/22/2020 6:40:04 AM","2019","94","0","94","0","0","6","0","0","53","0","35"
"IL0274580","Clinton","Keyesport (PWS)","5/21/2020 4:48:31 PM","2019","243","0","243","0","18","180","0","0","20","0","25"
"IL0270500","Clinton","Trenton (PWS)","5/21/2020 2:26:39 PM","2019","1295","0","1295","0","1125","0","48","0","74","0","48"
"IL0312940","Cook","South Chicago Heights (PWS)","5/21/2020 1:18:13 PM","2019","1612","0","1612","1362","0","0","0","0","250","0","0"
"IL1810050","Union","Anna (PWS)","5/21/2020 11:48:23 AM","2019","2130","0","2130","1","1692","83","52","0","28","0","274"
"IL0312280","Cook","Olympia Fields (PWS)","5/21/2020 10:27:02 AM","2019","1900","0","1900","195","0","0","0","555","1150","0","0"
"IL0290200","Coles","Lerna (PWS)","5/21/2020 9:03:42 AM","2019","150","0","150","0","0","0","0","0","0","0","150"
"IL0311170","Cook","Hazel Crest (PWS)","5/21/2020 8:03:18 AM","2019","4598","4","4594","339","252","4003","0","0","4","0","0"
"IL0910700","Kankakee","St Anne (PWS)","5/20/2020 2:25:13 PM","2019","485","0","485","0","484","0","1","0","0","0","0"
"IL0550150","Franklin","Christopher (PWS)","5/20/2020 1:11:21 PM","2019","1272","2","1270","1","45","1","1","45","1056","1","122"
"IL0270250","Clinton","Breese (PWS)","5/20/2020 11:41:52 AM","2019","2215","5","2210","0","1069","0","0","1146","0","0","0"
"IL0315820","Cook","JUSTICE-WILLOW SPRINGS WATER COMMISSION (PWS)","5/20/2020 11:16:25 AM","2019","4826","3","4823","0","0","0","0","0","4811","15","0"
"IL0890750","Kane","Sleepy Hollow (PWS)","5/20/2020 9:09:45 AM","2019","1015","0","1015","0","0","0","0","0","1015","0","0"
"IL1675185","Sangamon","Woodland Acres MHP (PWS)","5/20/2020 7:55:05 AM","2019","232","0","232","0","232","0","0","0","0","0","0"
