GEOID,NAME,total,total_hispanic,total_hispanic_perc,mexican,mexican_perc,PR,PR_perc,cuban,cuban_perc,hispanic_other,hispanic_other_perc,total_nothisp,total_nothisp_perc,white,white_perc,black,black_perc,native,native_perc,asian,asian_perc,PI,PI_perc
1600000US1703207,"Avon village, Illinois",767,2,0.3,2,0.3,0,0,0,0,0,0,765,99.7,759,99,0,0,0,0,0,0,0,0
1600000US1703454,"Baldwin village, Illinois",308,0,0,0,0,0,0,0,0,0,0,308,100,293,95.1,0,0,0,0,0,0,0,0
1600000US1703571,"Banner village, Illinois",223,11,4.9,11,4.9,0,0,0,0,0,0,212,95.1,202,90.6,0,0,2,0.9,0,0,0,0
1600000US1703610,"Bannockburn village, Illinois",1325,111,8.4,83,6.3,0,0,0,0,28,2.1,1214,91.6,929,70.1,105,7.9,3,0.2,120,9.1,0,0
1600000US1703675,"Bardolph village, Illinois",328,0,0,0,0,0,0,0,0,0,0,328,100,328,100,0,0,0,0,0,0,0,0
1600000US1703844,"Barrington village, Illinois",10304,700,6.8,514,5,42,0.4,84,0.8,60,0.6,9604,93.2,8832,85.7,103,1,0,0,531,5.2,0,0
1600000US1703883,"Barrington Hills village, Illinois",3916,62,1.6,1,0,0,0,18,0.5,43,1.1,3854,98.4,3169,80.9,49,1.3,0,0,620,15.8,0,0
1600000US1703948,"Barry city, Illinois",1552,11,0.7,2,0.1,9,0.6,0,0,0,0,1541,99.3,1503,96.8,12,0.8,0,0,0,0,0,0
1600000US1704000,"Bartelso village, Illinois",661,4,0.6,4,0.6,0,0,0,0,0,0,657,99.4,656,99.2,0,0,0,0,1,0.2,0,0
1600000US1704013,"Bartlett village, Illinois",41316,5417,13.1,4006,9.7,604,1.5,77,0.2,730,1.8,35899,86.9,27906,67.5,663,1.6,11,0,6502,15.7,7,0
1600000US1704039,"Bartonville village, Illinois",6316,102,1.6,76,1.2,14,0.2,0,0,12,0.2,6214,98.4,5984,94.7,76,1.2,0,0,3,0,0,0
1600000US1704052,"Basco village, Illinois",77,0,0,0,0,0,0,0,0,0,0,77,100,74,96.1,1,1.3,0,0,0,0,0,0
1600000US1704078,"Batavia city, Illinois",26282,2032,7.7,1623,6.2,159,0.6,44,0.2,206,0.8,24250,92.3,22688,86.3,507,1.9,0,0,501,1.9,7,0
1600000US1704117,"Batchtown village, Illinois",199,0,0,0,0,0,0,0,0,0,0,199,100,199,100,0,0,0,0,0,0,0,0
1600000US1704156,"Bath village, Illinois",265,0,0,0,0,0,0,0,0,0,0,265,100,261,98.5,0,0,0,0,4,1.5,0,0
1600000US1704247,"Baylis village, Illinois",131,0,0,0,0,0,0,0,0,0,0,131,100,124,94.7,0,0,0,0,0,0,0,0
1600000US1704273,"Bay View Gardens village, Illinois",408,19,4.7,19,4.7,0,0,0,0,0,0,389,95.3,384,94.1,0,0,2,0.5,0,0,0,0
1600000US1704303,"Beach Park village, Illinois",13534,3850,28.4,2892,21.4,301,2.2,0,0,657,4.9,9684,71.6,7143,52.8,1502,11.1,0,0,511,3.8,0,0
1600000US1704351,"Beardstown city, Illinois",5902,2049,34.7,1705,28.9,148,2.5,61,1,135,2.3,3853,65.3,3315,56.2,493,8.4,0,0,4,0.1,0,0
1600000US1704403,"Beason CDP, Illinois",202,0,0,0,0,0,0,0,0,0,0,202,100,195,96.5,3,1.5,0,0,0,0,0,0
1600000US1704507,"Beaverville village, Illinois",340,12,3.5,4,1.2,0,0,0,0,8,2.4,328,96.5,321,94.4,4,1.2,2,0.6,1,0.3,0,0
