GEO_ID,NAME,DP05_0033E,DP05_0034E,DP05_0034PE,DP05_0035E,DP05_0035PE,DP05_0037E,DP05_0037PE,DP05_0038E,DP05_0038PE,DP05_0039E,DP05_0039PE,DP05_0044E,DP05_0044PE,DP05_0045E,DP05_0045PE,DP05_0046E,DP05_0046PE,DP05_0047E,DP05_0047PE,DP05_0048E,DP05_0048PE,DP05_0049E,DP05_0049PE,DP05_0050E,DP05_0050PE,DP05_0051E,DP05_0051PE,DP05_0052E,DP05_0052PE,DP05_0053E,DP05_0053PE,DP05_0054E,DP05_0054PE,DP05_0055E,DP05_0055PE,DP05_0056E,DP05_0056PE,DP05_0057E,DP05_0057PE,DP05_0059E,DP05_0059PE,DP05_0060E,DP05_0060PE,DP05_0061E,DP05_0061PE,DP05_0061PM,DP05_0062E,DP05_0062PE,DP05_0063E,DP05_0063PE,DP05_0064E,DP05_0064PE,DP05_0065E,DP05_0065PE,DP05_0066E,DP05_0066PE,DP05_0067E,DP05_0067PE,DP05_0068E,DP05_0068PE,DP05_0069E,DP05_0069PE,DP05_0070E,DP05_0070PE,DP05_0071E,DP05_0071PE,DP05_0072E,DP05_0072PE,DP05_0073E,DP05_0073PE,DP05_0074E,DP05_0074PE,DP05_0075E,DP05_0075PE,DP05_0076E,DP05_0076PE,DP05_0077E,DP05_0077PE,DP05_0078E,DP05_0078PE,DP05_0079E,DP05_0079PE,DP05_0080E,DP05_0080PE,DP05_0081E,DP05_0081PE,DP05_0082E,DP05_0082PE,DP05_0083E,DP05_0083PE,DP05_0084E,DP05_0084PE,DP05_0085E,DP05_0085PE,DP05_0086E
1600000US1701010,"Alsip village, Illinois",19179,18641,97.2,538,2.8,12818,66.8,4402,23,27,0.1,217,1.1,7,0,0,0,186,1,0,0,0,0,24,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1177,6.1,50,0.3,30,0.2,46,0.2,0.2,102,0.5,19179,19179,13203,68.8,4561,23.8,159,0.8,314,1.6,51,0.3,1436,7.5,19179,19179,4209,21.9,3803,19.8,92,0.5,41,0.2,273,1.4,14970,78.1,10222,53.3,4244,22.1,25,0.1,217,1.1,0,0,0,0,262,1.4,0,0,262,1.4,7597
1600000US1701049,"Altamont city, Illinois",2260,2256,99.8,4,0.2,2242,99.2,9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.2,0,0,4,0.2,0,0,1.2,0,0,2260,2260,2246,99.4,9,0.4,4,0.2,0,0,0,0,5,0.2,2260,2260,0,0,0,0,0,0,0,0,0,0,2260,100,2242,99.2,9,0.4,0,0,0,0,0,0,5,0.2,4,0.2,0,0,4,0.2,1023
1600000US1701114,"Alton city, Illinois",26884,25784,95.9,1100,4.1,19086,71,6487,24.1,24,0.1,113,0.4,70,0.3,4,0,39,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0.3,649,2.4,189,0.7,153,0.6,0.5,12,0,26884,26884,20119,74.8,7221,26.9,252,0.9,304,1.1,5,0,115,0.4,26884,26884,667,2.5,506,1.9,111,0.4,0,0,50,0.2,26217,97.5,18561,69,6479,24.1,24,0.1,113,0.4,0,0,0,0,1040,3.9,9,0,1031,3.8,13769
1600000US1701140,"Altona village, Illinois",642,639,99.5,3,0.5,604,94.1,32,5,0,0,3,0.5,1,0.2,0,0,0,0,2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0.8,0,0,642,642,607,94.5,32,5,0,0,6,0.9,0,0,0,0,642,642,16,2.5,0,0,0,0,0,0,16,2.5,626,97.5,588,91.6,32,5,0,0,3,0.5,0,0,0,0,3,0.5,0,0,3,0.5,238
1600000US1701205,"Alto Pass village, Illinois",278,275,98.9,3,1.1,226,81.3,0,0,0,0,1,0.4,0,0,0,0,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,17.3,0,0,0,0,0,0,9.4,0,0,278,278,229,82.4,0,0,0,0,1,0.4,0,0,51,18.3,278,278,94,33.8,94,33.8,0,0,0,0,0,0,184,66.2,183,65.8,0,0,0,0,1,0.4,0,0,0,0,0,0,0,0,0,0,156
1600000US1701242,"Alvan village, Illinois",312,311,99.7,1,0.3,307,98.4,0,0,4,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0,0,8.4,0,0,312,312,308,98.7,0,0,5,1.6,0,0,0,0,0,0,312,312,1,0.3,1,0.3,0,0,0,0,0,0,311,99.7,306,98.1,0,0,4,1.3,0,0,0,0,0,0,1,0.3,0,0,1,0.3,134
1600000US1701270,"Amboy city, Illinois",2455,2440,99.4,15,0.6,2371,96.6,16,0.7,0,0,4,0.2,0,0,0,0,0,0,4,0.2,0,0,0,0,0,0,15,0.6,15,0.6,0,0,0,0,0,0,34,1.4,15,0.6,0,0,0,0,1.1,0,0,2455,2455,2386,97.2,31,1.3,0,0,4,0.2,15,0.6,34,1.4,2455,2455,85,3.5,75,3.1,8,0.3,0,0,2,0.1,2370,96.5,2320,94.5,16,0.7,0,0,4,0.2,15,0.6,0,0,15,0.6,0,0,15,0.6,1066
1600000US1701361,"Anchor village, Illinois",175,175,100,0,0,175,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,175,175,175,100,0,0,0,0,0,0,0,0,0,0,175,175,0,0,0,0,0,0,0,0,0,0,175,100,175,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
1600000US1701426,"Andalusia village, Illinois",1113,1100,98.8,13,1.2,1065,95.7,20,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.3,10,0.9,0,0,0,0,2.4,3,0.3,1113,1113,1075,96.6,33,3,3,0.3,0,0,0,0,15,1.3,1113,1113,25,2.2,22,2,0,0,0,0,3,0.3,1088,97.8,1058,95.1,17,1.5,0,0,0,0,0,0,0,0,13,1.2,0,0,13,1.2,488
1600000US1701491,"Andover village, Illinois",563,563,100,0,0,553,98.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.8,0,0,0,0,0,0,4.8,0,0,563,563,553,98.2,0,0,0,0,0,0,0,0,10,1.8,563,563,45,8,45,8,0,0,0,0,0,0,518,92,518,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232
