GEOID,NAME,total,onerace_white,onerace_white_perc,onerace_black,onerace_black_perc
1600000US1740416,"Knoxville city, Illinois",2988,2924,97.9,6,0.2
1600000US1740559,"Lacon city, Illinois",1815,1761,97,28,1.5
1600000US1740598,"Ladd village, Illinois",1185,1129,95.3,0,0
1600000US1740676,"La Fayette village, Illinois",207,207,100,0,0
1600000US1740767,"La Grange village, Illinois",15632,14195,90.8,886,5.7
1600000US1740793,"La Grange Park village, Illinois",13491,12134,89.9,526,3.9
1600000US1740832,"La Harpe city, Illinois",1411,1387,98.3,0,0
1600000US1740884,"Lake Barrington village, Illinois",5069,4781,94.3,13,0.3
1600000US1740910,"Lake Bluff village, Illinois",5612,5108,91,31,0.6
1600000US1740962,"Lake Camelot CDP, Illinois",1834,1810,98.7,0,0
1600000US1740988,"Lake Catherine CDP, Illinois",1439,1355,94.2,24,1.7
1600000US1741105,"Lake Forest city, Illinois",19219,16803,87.4,381,2
1600000US1741157,"Lake Holiday CDP, Illinois",4534,4475,98.7,0,0
1600000US1741183,"Lake in the Hills village, Illinois",28832,25405,88.1,687,2.4
1600000US1741214,"Lake Ka-Ho village, Illinois",218,210,96.3,0,0
1600000US1741326,"Lakemoor village, Illinois",6171,5683,92.1,137,2.2
1600000US1741346,"Lake of the Woods CDP, Illinois",2442,2393,98,0,0
1600000US1741404,"Lake Petersburg CDP, Illinois",553,553,100,0,0
1600000US1741456,"Lake Summerset CDP, Illinois",2019,1948,96.5,24,1.2
1600000US1741586,"Lake Villa village, Illinois",8762,7842,89.5,306,3.5
1600000US1741651,"Lakewood village, Illinois",3741,3563,95.2,62,1.7
1600000US1741716,"Lakewood Shores CDP, Illinois",1381,1308,94.7,30,2.2
1600000US1741742,"Lake Zurich village, Illinois",19970,16802,84.1,505,2.5
1600000US1741794,"La Moille village, Illinois",771,722,93.6,6,0.8
1600000US1741859,"Lanark city, Illinois",1562,1405,89.9,15,1
1600000US1742002,"Langleyville CDP, Illinois",375,375,100,0,0
1600000US1742028,"Lansing village, Illinois",28141,13851,49.2,11660,41.4
1600000US1742067,"LaPlace CDP, Illinois",142,135,95.1,0,0
1600000US1742080,"La Prairie village, Illinois",63,61,96.8,0,0
1600000US1742171,"La Rose village, Illinois",105,102,97.1,0,0
1600000US1742184,"LaSalle city, Illinois",9305,8500,91.3,54,0.6
1600000US1742249,"Latham village, Illinois",403,386,95.8,0,0
1600000US1742405,"Lawrenceville city, Illinois",4417,3955,89.5,10,0.2
1600000US1742457,"Leaf River village, Illinois",548,530,96.7,12,2.2
1600000US1742496,"Lebanon city, Illinois",4256,3060,71.9,1045,24.6
1600000US1742587,"Lee village, Illinois",335,317,94.6,5,1.5
1600000US1742756,"Leland village, Illinois",859,840,97.8,0,0
1600000US1742769,"Leland Grove city, Illinois",1457,1412,96.9,10,0.7
1600000US1742795,"Lemont village, Illinois",16935,15928,94.1,126,0.7
1600000US1742834,"Lena village, Illinois",2873,2821,98.2,26,0.9
1600000US1742860,"Lenzburg village, Illinois",491,433,88.2,0,0
1600000US1742912,"Leonore village, Illinois",69,63,91.3,0,0
1600000US1742938,"Lerna village, Illinois",266,266,100,0,0
1600000US1742971,"Le Roy city, Illinois",3576,3542,99,11,0.3
1600000US1743055,"Lewistown city, Illinois",2349,2268,96.6,27,1.1
1600000US1743094,"Lexington city, Illinois",1890,1864,98.6,12,0.6
1600000US1743133,"Liberty village, Illinois",412,399,96.8,13,3.2
1600000US1743250,"Libertyville village, Illinois",20480,18541,90.5,179,0.9
1600000US1743406,"Lily Lake village, Illinois",1091,1022,93.7,32,2.9
1600000US1743445,"Lima village, Illinois",120,119,99.2,0,0
1600000US1743510,"Limestone village, Illinois",1576,1551,98.4,15,1
1600000US1743536,"Lincoln city, Illinois",13738,12490,90.9,402,2.9
1600000US1743666,"Lincolnshire village, Illinois",7469,6424,86,77,1
1600000US1743744,"Lincolnwood village, Illinois",12539,7525,60,322,2.6
1600000US1743770,"Lindenhurst village, Illinois",14495,13083,90.3,236,1.6
1600000US1743900,"Lisbon village, Illinois",414,401,96.9,2,0.5
1600000US1743939,"Lisle village, Illinois",23435,17924,76.5,1071,4.6
1600000US1743965,"Litchfield city, Illinois",7015,6789,96.8,134,1.9
